t,phase,x,y,z
0.003268,INIT_POS,0.686238000,0.113165000,0.323836000
0.023764,INIT_POS,0.686211000,0.113264000,0.323846000
0.033777,INIT_POS,0.686117000,0.113507000,0.323887000
0.043724,INIT_POS,0.685982000,0.113611000,0.323909000
0.053740,INIT_POS,0.685800000,0.113564000,0.323884000
0.063719,INIT_POS,0.685544000,0.113626000,0.323869000
0.073746,INIT_POS,0.685250000,0.113656000,0.323859000
0.083756,INIT_POS,0.684937000,0.113526000,0.323798000
0.093759,INIT_POS,0.684572000,0.113596000,0.323764000
0.103720,INIT_POS,0.684185000,0.113763000,0.323794000
0.113740,INIT_POS,0.683798000,0.113744000,0.323790000
0.123715,INIT_POS,0.683394000,0.113652000,0.323761000
0.133752,INIT_POS,0.682949000,0.113671000,0.323736000
0.143720,INIT_POS,0.682482000,0.113668000,0.323707000
0.153730,INIT_POS,0.682023000,0.113575000,0.323701000
0.163773,INIT_POS,0.681559000,0.113492000,0.323685000
0.173760,INIT_POS,0.681064000,0.113428000,0.323621000
0.183779,INIT_POS,0.680563000,0.113346000,0.323535000
0.193742,INIT_POS,0.680050000,0.113318000,0.323470000
0.203733,INIT_POS,0.679525000,0.113301000,0.323403000
0.213737,INIT_POS,0.678995000,0.113224000,0.323327000
0.223718,INIT_POS,0.678458000,0.113181000,0.323239000
0.233740,INIT_POS,0.677908000,0.113212000,0.323169000
0.243716,INIT_POS,0.677367000,0.113235000,0.323144000
0.253735,INIT_POS,0.676812000,0.113202000,0.323083000
0.263719,INIT_POS,0.676251000,0.113155000,0.322981000
0.273754,INIT_POS,0.675689000,0.113133000,0.322888000
0.283761,INIT_POS,0.675116000,0.113111000,0.322780000
0.293757,INIT_POS,0.674556000,0.113079000,0.322709000
0.303724,INIT_POS,0.674000000,0.113072000,0.322658000
0.313738,INIT_POS,0.673467000,0.113063000,0.322644000
0.323716,INIT_POS,0.672954000,0.113046000,0.322659000
0.333746,INIT_POS,0.672447000,0.113037000,0.322678000
0.343716,INIT_POS,0.671950000,0.113049000,0.322704000
0.353735,INIT_POS,0.671453000,0.113055000,0.322727000
0.363796,INIT_POS,0.670963000,0.113049000,0.322745000
0.373760,INIT_POS,0.670480000,0.113037000,0.322764000
0.383752,INIT_POS,0.669991000,0.113029000,0.322765000
0.393766,INIT_POS,0.669502000,0.113032000,0.322768000
0.403718,INIT_POS,0.668998000,0.113040000,0.322761000
0.413734,INIT_POS,0.668499000,0.113034000,0.322760000
0.423740,INIT_POS,0.667994000,0.113023000,0.322742000
0.433825,INIT_POS,0.667493000,0.113019000,0.322734000
0.443748,INIT_POS,0.666987000,0.113024000,0.322721000
0.453759,INIT_POS,0.666480000,0.113027000,0.322707000
0.463725,INIT_POS,0.665947000,0.113031000,0.322635000
