t,phase,x,y,z
0.003634,INIT_POS,0.686241000,0.112894000,0.323671000
0.024143,INIT_POS,0.686213000,0.113018000,0.323697000
0.034173,INIT_POS,0.686117000,0.113238000,0.323739000
0.044122,INIT_POS,0.685979000,0.113316000,0.323754000
0.054161,INIT_POS,0.685796000,0.113245000,0.323729000
0.064123,INIT_POS,0.685532000,0.113314000,0.323723000
0.074155,INIT_POS,0.685230000,0.113282000,0.323698000
0.084121,INIT_POS,0.684912000,0.113124000,0.323632000
0.094156,INIT_POS,0.684543000,0.113189000,0.323602000
0.104120,INIT_POS,0.684151000,0.113333000,0.323619000
0.114149,INIT_POS,0.683765000,0.113275000,0.323615000
0.124120,INIT_POS,0.683362000,0.113174000,0.323584000
0.134151,INIT_POS,0.682912000,0.113173000,0.323540000
0.144117,INIT_POS,0.682444000,0.113133000,0.323497000
0.154151,INIT_POS,0.681982000,0.113004000,0.323469000
0.164116,INIT_POS,0.681509000,0.112898000,0.323437000
0.174151,INIT_POS,0.681022000,0.112842000,0.323397000
0.184116,INIT_POS,0.680519000,0.112772000,0.323307000
0.194150,INIT_POS,0.680008000,0.112687000,0.323205000
0.204115,INIT_POS,0.679499000,0.112624000,0.323137000
0.214145,INIT_POS,0.678971000,0.112602000,0.323075000
0.224116,INIT_POS,0.678444000,0.112555000,0.323009000
0.234150,INIT_POS,0.677904000,0.112513000,0.322923000
0.244114,INIT_POS,0.677362000,0.112521000,0.322868000
0.254150,INIT_POS,0.676808000,0.112537000,0.322824000
0.264115,INIT_POS,0.676241000,0.112511000,0.322740000
0.274158,INIT_POS,0.675681000,0.112466000,0.322639000
0.284125,INIT_POS,0.675111000,0.112452000,0.322531000
0.294150,INIT_POS,0.674549000,0.112437000,0.322460000
0.304120,INIT_POS,0.673997000,0.112420000,0.322416000
0.314147,INIT_POS,0.673467000,0.112406000,0.322397000
0.324117,INIT_POS,0.672950000,0.112400000,0.322401000
0.334147,INIT_POS,0.672451000,0.112398000,0.322435000
0.344119,INIT_POS,0.671955000,0.112389000,0.322455000
0.354151,INIT_POS,0.671463000,0.112405000,0.322485000
0.364115,INIT_POS,0.670968000,0.112404000,0.322506000
0.374149,INIT_POS,0.670478000,0.112398000,0.322518000
0.384114,INIT_POS,0.669985000,0.112395000,0.322517000
0.394147,INIT_POS,0.669490000,0.112395000,0.322506000
0.404115,INIT_POS,0.668993000,0.112398000,0.322498000
0.414150,INIT_POS,0.668495000,0.112402000,0.322499000
0.424115,INIT_POS,0.667988000,0.112393000,0.322476000
0.434160,INIT_POS,0.667486000,0.112379000,0.322457000
0.444114,INIT_POS,0.666976000,0.112387000,0.322444000
0.454162,INIT_POS,0.666466000,0.112383000,0.322421000
0.464113,INIT_POS,0.665941000,0.112398000,0.322368000
0.474147,INIT_POS,0.665418000,0.112418000,0.322317000
0.484114,INIT_POS,0.664889000,0.112416000,0.322258000
0.494149,INIT_POS,0.664362000,0.112415000,0.322220000
0.504114,INIT_POS,0.663840000,0.112408000,0.322195000
0.514149,INIT_POS,0.663325000,0.112402000,0.322173000
0.524128,INIT_POS,0.662833000,0.112372000,0.322179000
0.534181,INIT_POS,0.662353000,0.112360000,0.322198000
0.544125,INIT_POS,0.661874000,0.112361000,0.322224000
0.554162,INIT_POS,0.661405000,0.112356000,0.322240000
0.564123,INIT_POS,0.660946000,0.112359000,0.322285000
0.574150,INIT_POS,0.660474000,0.112369000,0.322320000
0.584114,INIT_POS,0.660001000,0.112367000,0.322341000
0.594147,INIT_POS,0.659524000,0.112364000,0.322340000
0.604113,INIT_POS,0.659040000,0.112362000,0.322324000
0.614151,INIT_POS,0.658548000,0.112364000,0.322314000
0.624114,INIT_POS,0.658045000,0.112363000,0.322289000
0.634148,INIT_POS,0.657539000,0.112359000,0.322251000
0.644114,INIT_POS,0.657045000,0.112358000,0.322231000
0.654151,INIT_POS,0.656527000,0.112369000,0.322197000
0.664114,INIT_POS,0.656005000,0.112367000,0.322159000
0.674197,INIT_POS,0.655468000,0.112371000,0.322096000
0.684178,INIT_POS,0.654915000,0.112382000,0.322012000
0.694157,INIT_POS,0.654369000,0.112383000,0.321945000
0.704123,INIT_POS,0.653818000,0.112387000,0.321885000
0.714148,INIT_POS,0.653274000,0.112387000,0.321841000
0.724119,INIT_POS,0.652747000,0.112377000,0.321813000
0.734149,INIT_POS,0.652235000,0.112365000,0.321804000
0.744115,INIT_POS,0.651735000,0.112361000,0.321818000
0.754171,INIT_POS,0.651256000,0.112349000,0.321848000
0.764144,INIT_POS,0.650774000,0.112337000,0.321855000
0.774159,INIT_POS,0.650308000,0.112333000,0.321890000
0.784127,INIT_POS,0.649835000,0.112342000,0.321927000
0.794150,INIT_POS,0.649356000,0.112339000,0.321945000
0.804117,INIT_POS,0.648878000,0.112334000,0.321952000
0.814149,INIT_POS,0.648387000,0.112340000,0.321949000
0.824114,INIT_POS,0.647887000,0.112346000,0.321942000
0.834151,INIT_POS,0.647389000,0.112343000,0.321932000
0.844114,INIT_POS,0.646881000,0.112336000,0.321892000
0.854153,INIT_POS,0.646379000,0.112336000,0.321870000
0.864113,INIT_POS,0.645874000,0.112339000,0.321858000
0.874153,INIT_POS,0.645355000,0.112342000,0.321833000
0.884117,INIT_POS,0.644836000,0.112342000,0.321791000
0.894154,INIT_POS,0.644302000,0.112343000,0.321735000
0.904115,INIT_POS,0.643764000,0.112343000,0.321681000
0.914150,INIT_POS,0.643222000,0.112344000,0.321625000
0.924116,INIT_POS,0.642675000,0.112345000,0.321557000
0.934147,INIT_POS,0.642139000,0.112345000,0.321497000
0.944114,INIT_POS,0.641610000,0.112336000,0.321445000
0.954152,INIT_POS,0.641093000,0.112334000,0.321415000
0.964114,INIT_POS,0.640589000,0.112325000,0.321402000
0.974148,INIT_POS,0.640103000,0.112322000,0.321407000
0.984119,INIT_POS,0.639618000,0.112319000,0.321408000
0.994152,INIT_POS,0.639146000,0.112316000,0.321427000
1.004115,INIT_POS,0.638664000,0.112321000,0.321426000
1.014146,INIT_POS,0.638178000,0.112316000,0.321407000
1.024133,INIT_POS,0.637704000,0.112323000,0.321417000
1.034159,INIT_POS,0.637217000,0.112321000,0.321413000
1.044116,INIT_POS,0.636722000,0.112323000,0.321394000
1.054154,INIT_POS,0.636232000,0.112320000,0.321369000
1.064114,INIT_POS,0.635733000,0.112318000,0.321341000
1.074149,INIT_POS,0.635242000,0.112324000,0.321343000
1.084115,INIT_POS,0.634740000,0.112321000,0.321338000
1.094146,INIT_POS,0.634230000,0.112320000,0.321308000
1.104114,INIT_POS,0.633716000,0.112324000,0.321275000
1.114148,INIT_POS,0.633202000,0.112327000,0.321256000
1.124115,INIT_POS,0.632675000,0.112327000,0.321228000
1.134153,INIT_POS,0.632153000,0.112332000,0.321201000
1.144114,INIT_POS,0.631631000,0.112333000,0.321157000
1.154147,INIT_POS,0.631113000,0.112331000,0.321120000
1.164113,INIT_POS,0.630602000,0.112332000,0.321106000
1.174146,INIT_POS,0.630101000,0.112325000,0.321106000
1.184140,INIT_POS,0.629622000,0.112313000,0.321117000
1.194149,INIT_POS,0.629155000,0.112313000,0.321143000
1.204121,INIT_POS,0.628707000,0.112316000,0.321200000
