t,phase,x,y,z
18.422891,P1_INIT_POS,-0.029268000,-0.541518000,0.397853000
18.432849,P1_INIT_POS,-0.028946000,-0.541559000,0.397585000
18.442805,P1_INIT_POS,-0.028673000,-0.541606000,0.397379000
18.452812,P1_INIT_POS,-0.028439000,-0.541669000,0.397281000
18.462783,P1_INIT_POS,-0.028079000,-0.541733000,0.397077000
18.472686,P1_INIT_POS,-0.027642000,-0.541758000,0.396682000
18.482663,P1_INIT_POS,-0.027210000,-0.541791000,0.396303000
18.492659,P1_INIT_POS,-0.026684000,-0.541830000,0.395900000
18.502692,P1_INIT_POS,-0.026091000,-0.541886000,0.395451000
18.512751,P1_INIT_POS,-0.025506000,-0.541950000,0.395030000
18.522683,P1_INIT_POS,-0.024893000,-0.542016000,0.394606000
18.532675,P1_INIT_POS,-0.024268000,-0.542073000,0.394153000
18.542676,P1_INIT_POS,-0.023635000,-0.542108000,0.393646000
18.552660,P1_INIT_POS,-0.023042000,-0.542137000,0.393170000
18.562656,P1_INIT_POS,-0.022474000,-0.542149000,0.392669000
18.572655,P1_INIT_POS,-0.021932000,-0.542162000,0.392189000
18.582737,P1_INIT_POS,-0.021432000,-0.542168000,0.391723000
18.592701,P1_INIT_POS,-0.020952000,-0.542168000,0.391254000
18.602691,P1_INIT_POS,-0.020466000,-0.542170000,0.390789000
18.612746,P1_INIT_POS,-0.019963000,-0.542164000,0.390314000
18.622702,P1_INIT_POS,-0.019432000,-0.542158000,0.389846000
18.632675,P1_INIT_POS,-0.018884000,-0.542151000,0.389369000
18.642650,P1_INIT_POS,-0.018355000,-0.542131000,0.388879000
18.652646,P1_INIT_POS,-0.017821000,-0.542109000,0.388383000
18.662715,P1_INIT_POS,-0.017295000,-0.542091000,0.387889000
18.672900,P1_INIT_POS,-0.016781000,-0.542075000,0.387401000
18.682810,P1_INIT_POS,-0.016264000,-0.542054000,0.386895000
18.692833,P1_INIT_POS,-0.015735000,-0.542032000,0.386380000
18.702806,P1_INIT_POS,-0.015207000,-0.542013000,0.385879000
18.712884,P1_INIT_POS,-0.014702000,-0.541982000,0.385382000
18.722761,P1_INIT_POS,-0.014225000,-0.541947000,0.384912000
18.732852,P1_INIT_POS,-0.013711000,-0.541907000,0.384414000
18.742800,P1_INIT_POS,-0.013188000,-0.541870000,0.383940000
18.752749,P1_INIT_POS,-0.012646000,-0.541834000,0.383465000
18.762666,P1_INIT_POS,-0.012101000,-0.541797000,0.382983000
18.772650,P1_INIT_POS,-0.011550000,-0.541757000,0.382486000
18.782638,P1_INIT_POS,-0.011006000,-0.541724000,0.382001000
18.792675,P1_INIT_POS,-0.010459000,-0.541689000,0.381527000
18.802631,P1_INIT_POS,-0.009921000,-0.541649000,0.381036000
18.812725,P1_INIT_POS,-0.009376000,-0.541602000,0.380528000
18.822690,P1_INIT_POS,-0.008868000,-0.541555000,0.380040000
18.832658,P1_INIT_POS,-0.008365000,-0.541513000,0.379581000
18.842646,P1_INIT_POS,-0.007874000,-0.541474000,0.379129000
18.852644,P1_INIT_POS,-0.007371000,-0.541436000,0.378670000
18.862781,P1_INIT_POS,-0.006885000,-0.541397000,0.378229000
18.872652,P1_INIT_POS,-0.006408000,-0.541353000,0.377779000
18.882657,P1_INIT_POS,-0.005917000,-0.541310000,0.377311000
18.892733,P1_INIT_POS,-0.005423000,-0.541261000,0.376820000
18.902746,P1_INIT_POS,-0.004922000,-0.541220000,0.376346000
18.912738,P1_INIT_POS,-0.004415000,-0.541182000,0.375862000
18.922724,P1_INIT_POS,-0.003923000,-0.541150000,0.375389000
18.932661,P1_INIT_POS,-0.003458000,-0.541108000,0.374920000
