t,phase,x,y,z
0.003420,INIT_POS,0.686174000,0.113230000,0.323625000
0.023840,INIT_POS,0.686158000,0.113304000,0.323643000
0.033880,INIT_POS,0.686069000,0.113553000,0.323687000
0.043849,INIT_POS,0.685932000,0.113706000,0.323717000
0.053906,INIT_POS,0.685755000,0.113665000,0.323704000
0.063949,INIT_POS,0.685536000,0.113673000,0.323689000
0.073953,INIT_POS,0.685200000,0.113738000,0.323686000
0.083925,INIT_POS,0.684875000,0.113634000,0.323633000
0.093966,INIT_POS,0.684512000,0.113619000,0.323584000
0.103903,INIT_POS,0.684117000,0.113785000,0.323604000
0.113895,INIT_POS,0.683708000,0.113854000,0.323615000
0.123895,INIT_POS,0.683298000,0.113759000,0.323597000
0.133962,INIT_POS,0.682858000,0.113687000,0.323554000
0.143915,INIT_POS,0.682378000,0.113703000,0.323499000
0.153912,INIT_POS,0.681903000,0.113671000,0.323488000
0.163927,INIT_POS,0.681424000,0.113575000,0.323465000
0.173903,INIT_POS,0.680927000,0.113472000,0.323406000
0.183901,INIT_POS,0.680424000,0.113397000,0.323325000
0.193893,INIT_POS,0.679910000,0.113345000,0.323238000
0.203882,INIT_POS,0.679388000,0.113332000,0.323171000
0.213876,INIT_POS,0.678856000,0.113314000,0.323118000
0.223878,INIT_POS,0.678319000,0.113248000,0.323029000
0.233872,INIT_POS,0.677776000,0.113220000,0.322941000
0.243883,INIT_POS,0.677232000,0.113250000,0.322897000
0.253850,INIT_POS,0.676675000,0.113261000,0.322845000
0.263931,INIT_POS,0.676113000,0.113221000,0.322758000
0.273865,INIT_POS,0.675550000,0.113191000,0.322662000
0.283899,INIT_POS,0.674976000,0.113168000,0.322552000
0.293935,INIT_POS,0.674414000,0.113118000,0.322466000
0.303909,INIT_POS,0.673868000,0.113100000,0.322428000
0.313884,INIT_POS,0.673335000,0.113102000,0.322418000
0.323874,INIT_POS,0.672814000,0.113093000,0.322422000
0.333878,INIT_POS,0.672307000,0.113075000,0.322442000
0.343835,INIT_POS,0.671813000,0.113070000,0.322466000
0.353887,INIT_POS,0.671320000,0.113081000,0.322494000
0.363932,INIT_POS,0.670830000,0.113088000,0.322525000
0.373895,INIT_POS,0.670340000,0.113089000,0.322553000
0.383967,INIT_POS,0.669848000,0.113077000,0.322547000
0.393878,INIT_POS,0.669358000,0.113065000,0.322537000
0.403880,INIT_POS,0.668860000,0.113072000,0.322527000
0.413885,INIT_POS,0.668364000,0.113078000,0.322531000
0.423877,INIT_POS,0.667858000,0.113071000,0.322514000
0.433878,INIT_POS,0.667351000,0.113065000,0.322496000
0.443883,INIT_POS,0.666891000,0.113069000,0.322482000
0.453918,INIT_POS,0.666328000,0.113068000,0.322457000
0.464031,INIT_POS,0.665798000,0.113079000,0.322393000
0.473880,INIT_POS,0.665274000,0.113098000,0.322350000
0.483969,INIT_POS,0.664739000,0.113109000,0.322295000
0.493902,INIT_POS,0.664256000,0.113094000,0.322235000
0.503893,INIT_POS,0.663674000,0.113094000,0.322194000
0.513877,INIT_POS,0.663160000,0.113094000,0.322187000
0.523887,INIT_POS,0.662655000,0.113077000,0.322187000
0.533883,INIT_POS,0.662236000,0.113053000,0.322227000
0.543894,INIT_POS,0.661711000,0.113030000,0.322247000
0.553876,INIT_POS,0.661243000,0.113047000,0.322275000
0.563913,INIT_POS,0.660825000,0.113061000,0.322308000
0.573881,INIT_POS,0.660306000,0.113064000,0.322336000
0.583897,INIT_POS,0.659839000,0.113058000,0.322359000
0.593889,INIT_POS,0.659357000,0.113056000,0.322355000
0.603893,INIT_POS,0.658872000,0.113048000,0.322335000
0.613871,INIT_POS,0.658391000,0.113046000,0.322330000
0.623887,INIT_POS,0.657897000,0.113050000,0.322308000
0.633874,INIT_POS,0.657397000,0.113049000,0.322268000
0.643885,INIT_POS,0.656899000,0.113045000,0.322241000
0.653868,INIT_POS,0.656387000,0.113050000,0.322215000
0.663921,INIT_POS,0.655865000,0.113058000,0.322174000
0.673879,INIT_POS,0.655329000,0.113063000,0.322109000
0.683889,INIT_POS,0.654779000,0.113070000,0.322034000
0.693884,INIT_POS,0.654244000,0.113067000,0.321986000
0.703904,INIT_POS,0.653690000,0.113070000,0.321920000
0.713879,INIT_POS,0.653147000,0.113066000,0.321870000
0.723884,INIT_POS,0.652621000,0.113057000,0.321844000
0.733879,INIT_POS,0.652110000,0.113054000,0.321842000
0.743885,INIT_POS,0.651609000,0.113036000,0.321839000
0.753874,INIT_POS,0.651132000,0.113013000,0.321865000
0.763945,INIT_POS,0.650650000,0.113007000,0.321880000
0.773949,INIT_POS,0.650185000,0.113012000,0.321924000
0.783903,INIT_POS,0.649705000,0.113015000,0.321944000
0.793895,INIT_POS,0.649229000,0.113015000,0.321962000
0.803884,INIT_POS,0.648757000,0.113012000,0.321982000
0.813865,INIT_POS,0.648264000,0.113009000,0.321974000
0.823884,INIT_POS,0.647772000,0.113012000,0.321974000
0.833868,INIT_POS,0.647318000,0.113012000,0.321958000
0.843882,INIT_POS,0.646766000,0.113006000,0.321926000
0.853885,INIT_POS,0.646259000,0.113007000,0.321904000
