t,phase,x,y,z
18.601324,P1_INIT_POS,-0.029317000,-0.542020000,0.398058000
18.611226,P1_INIT_POS,-0.029002000,-0.542059000,0.397771000
18.621218,P1_INIT_POS,-0.028735000,-0.542137000,0.397604000
18.631206,P1_INIT_POS,-0.028481000,-0.542252000,0.397525000
18.641202,P1_INIT_POS,-0.028084000,-0.542358000,0.397284000
18.651188,P1_INIT_POS,-0.027599000,-0.542434000,0.396860000
18.661192,P1_INIT_POS,-0.027137000,-0.542525000,0.396503000
18.671221,P1_INIT_POS,-0.026596000,-0.542626000,0.396097000
18.681195,P1_INIT_POS,-0.025977000,-0.542747000,0.395632000
18.691201,P1_INIT_POS,-0.025370000,-0.542879000,0.395217000
18.701227,P1_INIT_POS,-0.024749000,-0.542997000,0.394775000
18.711207,P1_INIT_POS,-0.024105000,-0.543108000,0.394303000
18.721189,P1_INIT_POS,-0.023458000,-0.543191000,0.393777000
18.731194,P1_INIT_POS,-0.022822000,-0.543266000,0.393253000
18.741188,P1_INIT_POS,-0.022211000,-0.543333000,0.392743000
18.751185,P1_INIT_POS,-0.021650000,-0.543400000,0.392240000
18.761198,P1_INIT_POS,-0.021128000,-0.543458000,0.391741000
18.771186,P1_INIT_POS,-0.020634000,-0.543506000,0.391228000
18.781188,P1_INIT_POS,-0.020171000,-0.543550000,0.390746000
18.791185,P1_INIT_POS,-0.019677000,-0.543588000,0.390244000
18.801262,P1_INIT_POS,-0.019152000,-0.543630000,0.389755000
18.811145,P1_INIT_POS,-0.018615000,-0.543667000,0.389258000
18.821121,P1_INIT_POS,-0.018081000,-0.543695000,0.388770000
18.831070,P1_INIT_POS,-0.017542000,-0.543719000,0.388286000
18.841119,P1_INIT_POS,-0.017010000,-0.543737000,0.387798000
18.851121,P1_INIT_POS,-0.016528000,-0.543748000,0.387346000
18.861183,P1_INIT_POS,-0.015950000,-0.543764000,0.386811000
18.871161,P1_INIT_POS,-0.015439000,-0.543781000,0.386339000
18.881139,P1_INIT_POS,-0.014917000,-0.543796000,0.385867000
18.891102,P1_INIT_POS,-0.014400000,-0.543801000,0.385384000
18.901172,P1_INIT_POS,-0.013849000,-0.543800000,0.384862000
18.911113,P1_INIT_POS,-0.013314000,-0.543801000,0.384372000
18.921127,P1_INIT_POS,-0.012775000,-0.543804000,0.383882000
18.931075,P1_INIT_POS,-0.012266000,-0.543807000,0.383413000
18.941126,P1_INIT_POS,-0.011771000,-0.543803000,0.382937000
18.951056,P1_INIT_POS,-0.011258000,-0.543808000,0.382488000
18.961114,P1_INIT_POS,-0.010761000,-0.543804000,0.382029000
18.971055,P1_INIT_POS,-0.010276000,-0.543796000,0.381567000
18.981108,P1_INIT_POS,-0.009784000,-0.543782000,0.381089000
18.991101,P1_INIT_POS,-0.009309000,-0.543772000,0.380621000
19.001172,P1_INIT_POS,-0.008850000,-0.543760000,0.380151000
19.011103,P1_INIT_POS,-0.008393000,-0.543754000,0.379679000
19.021152,P1_INIT_POS,-0.007928000,-0.543753000,0.379212000
19.031118,P1_INIT_POS,-0.007451000,-0.543759000,0.378743000
19.041124,P1_INIT_POS,-0.006984000,-0.543764000,0.378286000
19.051065,P1_INIT_POS,-0.006506000,-0.543765000,0.377817000
19.061115,P1_INIT_POS,-0.006021000,-0.543769000,0.377363000
19.071125,P1_INIT_POS,-0.005522000,-0.543778000,0.376922000
19.081123,P1_INIT_POS,-0.005024000,-0.543787000,0.376485000
19.091104,P1_INIT_POS,-0.004523000,-0.543790000,0.376027000
19.101196,P1_INIT_POS,-0.004058000,-0.543799000,0.375605000
19.111114,P1_INIT_POS,-0.003660000,-0.543800000,0.375222000
19.121146,P1_INIT_POS,-0.003156000,-0.543803000,0.374734000
19.131064,P1_INIT_POS,-0.002670000,-0.543796000,0.374240000
19.141124,P1_INIT_POS,-0.002235000,-0.543799000,0.373820000
19.151061,P1_INIT_POS,-0.001712000,-0.543808000,0.373337000
19.161112,P1_INIT_POS,-0.001249000,-0.543813000,0.372905000
19.171053,P1_INIT_POS,-0.000779000,-0.543817000,0.372463000
19.181113,P1_INIT_POS,-0.000282000,-0.543812000,0.372002000
19.191188,P1_INIT_POS,0.000180000,-0.543806000,0.371570000
19.201189,P1_INIT_POS,0.000738000,-0.543794000,0.371044000
19.211089,P1_INIT_POS,0.001262000,-0.543786000,0.370554000
19.221124,P1_INIT_POS,0.001722000,-0.543780000,0.370120000
19.231059,P1_INIT_POS,0.002247000,-0.543773000,0.369613000
19.241120,P1_INIT_POS,0.002807000,-0.543765000,0.369058000
19.251052,P1_INIT_POS,0.003278000,-0.543758000,0.368584000
19.261124,P1_INIT_POS,0.003771000,-0.543752000,0.368105000
19.271157,P1_INIT_POS,0.004286000,-0.543757000,0.367620000
19.281146,P1_INIT_POS,0.004777000,-0.543756000,0.367143000
19.291091,P1_INIT_POS,0.005240000,-0.543761000,0.366705000
19.301179,P1_INIT_POS,0.005646000,-0.543764000,0.366310000
19.311152,P1_INIT_POS,0.006158000,-0.543767000,0.365812000
19.321120,P1_INIT_POS,0.006650000,-0.543772000,0.365340000
19.331104,P1_INIT_POS,0.007133000,-0.543781000,0.364889000
19.341123,P1_INIT_POS,0.007629000,-0.543790000,0.364417000
19.351146,P1_INIT_POS,0.008118000,-0.543801000,0.363944000
19.361093,P1_INIT_POS,0.008644000,-0.543803000,0.363429000
19.371114,P1_INIT_POS,0.009157000,-0.543813000,0.362945000
19.381065,P1_INIT_POS,0.009625000,-0.543825000,0.362508000
19.391128,P1_INIT_POS,0.010112000,-0.543837000,0.362049000
19.401151,P1_INIT_POS,0.010627000,-0.543848000,0.361568000
19.411126,P1_INIT_POS,0.011064000,-0.543862000,0.361160000
19.421069,P1_INIT_POS,0.011606000,-0.543877000,0.360651000
19.431109,P1_INIT_POS,0.012100000,-0.543889000,0.360180000
19.441057,P1_INIT_POS,0.012531000,-0.543899000,0.359763000
19.451123,P1_INIT_POS,0.013053000,-0.543910000,0.359265000
19.461054,P1_INIT_POS,0.013530000,-0.543918000,0.358786000
19.471118,P1_INIT_POS,0.014024000,-0.543926000,0.358310000
19.481119,P1_INIT_POS,0.014527000,-0.543936000,0.357845000
19.491131,P1_INIT_POS,0.015027000,-0.543943000,0.357387000
19.501086,P1_INIT_POS,0.015552000,-0.543949000,0.356912000
19.511193,P1_INIT_POS,0.016074000,-0.543952000,0.356441000
19.521095,P1_INIT_POS,0.016541000,-0.543957000,0.356032000
19.531163,P1_INIT_POS,0.017127000,-0.543963000,0.355513000
19.541055,P1_INIT_POS,0.017669000,-0.543965000,0.355024000
19.551122,P1_INIT_POS,0.018197000,-0.543970000,0.354544000
19.561055,P1_INIT_POS,0.018709000,-0.543980000,0.354076000
19.571139,P1_INIT_POS,0.019202000,-0.543991000,0.353622000
19.571192,P1_INIT_POS_SETTLE,0.019202000,-0.543991000,0.353622000
19.581396,P1_INIT_POS_SETTLE,0.019769000,-0.543985000,0.353045000
19.591743,P1_INIT_POS_SETTLE,0.020275000,-0.543978000,0.352539000
19.602136,P1_INIT_POS_SETTLE,0.020760000,-0.543980000,0.352080000
19.612486,P1_INIT_POS_SETTLE,0.021297000,-0.543987000,0.351581000
19.622779,P1_INIT_POS_SETTLE,0.021799000,-0.543987000,0.351111000
19.633090,P1_INIT_POS_SETTLE,0.022291000,-0.543993000,0.350650000
19.643390,P1_INIT_POS_SETTLE,0.022819000,-0.543996000,0.350155000
19.653692,P1_INIT_POS_SETTLE,0.023245000,-0.543995000,0.349734000
19.663997,P1_INIT_POS_SETTLE,0.023773000,-0.543994000,0.349207000
19.674325,P1_INIT_POS_SETTLE,0.024234000,-0.544007000,0.348753000
