t,phase,x,y,z
18.324345,P1_INIT_POS,-0.029256000,-0.541865000,0.398097000
18.334340,P1_INIT_POS,-0.028966000,-0.541894000,0.397843000
18.344297,P1_INIT_POS,-0.028731000,-0.541961000,0.397712000
18.354326,P1_INIT_POS,-0.028499000,-0.542061000,0.397653000
18.364290,P1_INIT_POS,-0.028125000,-0.542153000,0.397429000
18.374321,P1_INIT_POS,-0.027675000,-0.542211000,0.397012000
18.384285,P1_INIT_POS,-0.027262000,-0.542289000,0.396672000
18.394323,P1_INIT_POS,-0.026827000,-0.542375000,0.396341000
18.404311,P1_INIT_POS,-0.026177000,-0.542488000,0.395807000
18.414326,P1_INIT_POS,-0.025575000,-0.542617000,0.395381000
18.424285,P1_INIT_POS,-0.024971000,-0.542736000,0.394956000
18.434320,P1_INIT_POS,-0.024330000,-0.542845000,0.394481000
18.444289,P1_INIT_POS,-0.023673000,-0.542932000,0.393961000
18.454319,P1_INIT_POS,-0.023031000,-0.543000000,0.393435000
18.464277,P1_INIT_POS,-0.022424000,-0.543058000,0.392945000
18.474320,P1_INIT_POS,-0.021845000,-0.543114000,0.392455000
18.484274,P1_INIT_POS,-0.021313000,-0.543159000,0.391964000
18.494322,P1_INIT_POS,-0.020812000,-0.543195000,0.391476000
18.504284,P1_INIT_POS,-0.020303000,-0.543231000,0.390983000
18.514318,P1_INIT_POS,-0.019783000,-0.543271000,0.390501000
18.524273,P1_INIT_POS,-0.019255000,-0.543299000,0.390000000
18.534325,P1_INIT_POS,-0.018733000,-0.543319000,0.389500000
18.544271,P1_INIT_POS,-0.018204000,-0.543331000,0.388982000
18.554319,P1_INIT_POS,-0.017687000,-0.543338000,0.388477000
18.564278,P1_INIT_POS,-0.017168000,-0.543347000,0.388006000
18.574324,P1_INIT_POS,-0.016640000,-0.543354000,0.387510000
18.584278,P1_INIT_POS,-0.016102000,-0.543359000,0.387017000
18.594319,P1_INIT_POS,-0.015570000,-0.543360000,0.386542000
18.604297,P1_INIT_POS,-0.015054000,-0.543350000,0.386064000
18.614318,P1_INIT_POS,-0.014524000,-0.543340000,0.385592000
18.624273,P1_INIT_POS,-0.014005000,-0.543322000,0.385103000
18.634309,P1_INIT_POS,-0.013513000,-0.543310000,0.384667000
18.644271,P1_INIT_POS,-0.013012000,-0.543287000,0.384185000
18.654309,P1_INIT_POS,-0.012499000,-0.543269000,0.383686000
18.664276,P1_INIT_POS,-0.011997000,-0.543254000,0.383197000
18.674305,P1_INIT_POS,-0.011520000,-0.543245000,0.382736000
18.684277,P1_INIT_POS,-0.011015000,-0.543235000,0.382262000
18.694311,P1_INIT_POS,-0.010502000,-0.543225000,0.381783000
18.704295,P1_INIT_POS,-0.009979000,-0.543208000,0.381306000
18.714311,P1_INIT_POS,-0.009449000,-0.543195000,0.380844000
18.724268,P1_INIT_POS,-0.008931000,-0.543176000,0.380372000
18.734313,P1_INIT_POS,-0.008422000,-0.543154000,0.379898000
18.744289,P1_INIT_POS,-0.007932000,-0.543131000,0.379416000
18.754314,P1_INIT_POS,-0.007477000,-0.543111000,0.378964000
18.764267,P1_INIT_POS,-0.007020000,-0.543091000,0.378489000
18.774310,P1_INIT_POS,-0.006558000,-0.543076000,0.378020000
18.784272,P1_INIT_POS,-0.006093000,-0.543066000,0.377559000
18.794313,P1_INIT_POS,-0.005643000,-0.543052000,0.377112000
18.804286,P1_INIT_POS,-0.005175000,-0.543035000,0.376657000
18.814310,P1_INIT_POS,-0.004699000,-0.543020000,0.376205000
18.824276,P1_INIT_POS,-0.004202000,-0.543013000,0.375768000
18.834314,P1_INIT_POS,-0.003693000,-0.543007000,0.375315000
18.844269,P1_INIT_POS,-0.003182000,-0.543004000,0.374855000
18.854313,P1_INIT_POS,-0.002696000,-0.543002000,0.374412000
18.864266,P1_INIT_POS,-0.002236000,-0.543000000,0.373986000
18.874311,P1_INIT_POS,-0.001757000,-0.542989000,0.373517000
18.884269,P1_INIT_POS,-0.001245000,-0.542977000,0.373016000
18.894315,P1_INIT_POS,-0.000739000,-0.542968000,0.372543000
18.904289,P1_INIT_POS,-0.000263000,-0.542957000,0.372101000
18.914313,P1_INIT_POS,0.000195000,-0.542946000,0.371666000
18.924269,P1_INIT_POS,0.000678000,-0.542931000,0.371216000
18.934312,P1_INIT_POS,0.001175000,-0.542911000,0.370766000
18.944286,P1_INIT_POS,0.001638000,-0.542887000,0.370320000
18.954315,P1_INIT_POS,0.002145000,-0.542860000,0.369843000
18.964273,P1_INIT_POS,0.002664000,-0.542834000,0.369351000
18.974311,P1_INIT_POS,0.003170000,-0.542810000,0.368863000
18.984269,P1_INIT_POS,0.003699000,-0.542796000,0.368363000
18.994315,P1_INIT_POS,0.004190000,-0.542777000,0.367873000
19.004289,P1_INIT_POS,0.004685000,-0.542757000,0.367391000
19.014315,P1_INIT_POS,0.005191000,-0.542739000,0.366900000
19.024338,P1_INIT_POS,0.005681000,-0.542718000,0.366419000
19.034320,P1_INIT_POS,0.006154000,-0.542704000,0.365963000
19.044267,P1_INIT_POS,0.006610000,-0.542688000,0.365529000
19.054312,P1_INIT_POS,0.007046000,-0.542667000,0.365097000
19.064268,P1_INIT_POS,0.007512000,-0.542646000,0.364648000
19.074318,P1_INIT_POS,0.008001000,-0.542625000,0.364191000
19.084273,P1_INIT_POS,0.008447000,-0.542611000,0.363775000
19.094316,P1_INIT_POS,0.008915000,-0.542596000,0.363323000
19.104274,P1_INIT_POS,0.009404000,-0.542579000,0.362838000
19.114317,P1_INIT_POS,0.009896000,-0.542563000,0.362346000
19.124271,P1_INIT_POS,0.010375000,-0.542551000,0.361882000
19.134312,P1_INIT_POS,0.010866000,-0.542548000,0.361436000
19.144263,P1_INIT_POS,0.011362000,-0.542542000,0.360970000
19.154320,P1_INIT_POS,0.011872000,-0.542536000,0.360494000
19.164270,P1_INIT_POS,0.012378000,-0.542530000,0.360027000
19.174311,P1_INIT_POS,0.012865000,-0.542516000,0.359556000
19.184265,P1_INIT_POS,0.013359000,-0.542510000,0.359101000
19.194315,P1_INIT_POS,0.013849000,-0.542503000,0.358638000
19.204265,P1_INIT_POS,0.014342000,-0.542495000,0.358178000
19.214314,P1_INIT_POS,0.014856000,-0.542489000,0.357703000
19.224271,P1_INIT_POS,0.015343000,-0.542479000,0.357240000
19.234312,P1_INIT_POS,0.015842000,-0.542469000,0.356766000
19.244264,P1_INIT_POS,0.016346000,-0.542462000,0.356304000
19.254313,P1_INIT_POS,0.016845000,-0.542451000,0.355843000
19.264263,P1_INIT_POS,0.017348000,-0.542437000,0.355375000
19.274311,P1_INIT_POS,0.017854000,-0.542422000,0.354912000
19.284264,P1_INIT_POS,0.018361000,-0.542410000,0.354461000
19.294309,P1_INIT_POS,0.018885000,-0.542397000,0.353981000
19.294396,P1_INIT_POS_SETTLE,0.018885000,-0.542397000,0.353981000
19.304737,P1_INIT_POS_SETTLE,0.019471000,-0.542382000,0.353454000
19.315049,P1_INIT_POS_SETTLE,0.019985000,-0.542363000,0.352969000
19.325357,P1_INIT_POS_SETTLE,0.020467000,-0.542351000,0.352513000
19.335664,P1_INIT_POS_SETTLE,0.021008000,-0.542328000,0.351991000
19.345977,P1_INIT_POS_SETTLE,0.021524000,-0.542299000,0.351475000
19.356272,P1_INIT_POS_SETTLE,0.022023000,-0.542271000,0.350975000
19.366590,P1_INIT_POS_SETTLE,0.022555000,-0.542239000,0.350444000
19.376889,P1_INIT_POS_SETTLE,0.023046000,-0.542213000,0.349965000
19.387181,P1_INIT_POS_SETTLE,0.023531000,-0.542190000,0.349490000
19.397484,P1_INIT_POS_SETTLE,0.023996000,-0.542168000,0.349030000
19.407783,P1_INIT_POS_SETTLE,0.024536000,-0.542142000,0.348509000
19.418105,P1_INIT_POS_SETTLE,0.025031000,-0.542120000,0.348039000
19.428398,P1_INIT_POS_SETTLE,0.025509000,-0.542091000,0.347546000
19.438725,P1_INIT_POS_SETTLE,0.026029000,-0.542075000,0.347032000
19.449141,P1_INIT_POS_SETTLE,0.026491000,-0.542068000,0.346584000
19.459443,P1_INIT_POS_SETTLE,0.026972000,-0.542066000,0.346114000
19.469751,P1_INIT_POS_SETTLE,0.027497000,-0.542063000,0.345578000
19.480074,P1_INIT_POS_SETTLE,0.027968000,-0.542064000,0.345100000
19.490370,P1_INIT_POS_SETTLE,0.028425000,-0.542070000,0.344641000
19.500701,P1_INIT_POS_SETTLE,0.028942000,-0.542075000,0.344128000
19.511012,P1_INIT_POS_SETTLE,0.029419000,-0.542086000,0.343678000
19.521326,P1_INIT_POS_SETTLE,0.029918000,-0.542092000,0.343213000
19.531620,P1_INIT_POS_SETTLE,0.030472000,-0.542108000,0.342725000
19.541945,P1_INIT_POS_SETTLE,0.030962000,-0.542120000,0.342292000
19.552238,P1_INIT_POS_SETTLE,0.031448000,-0.542131000,0.341867000
19.562548,P1_INIT_POS_SETTLE,0.031991000,-0.542137000,0.341390000
19.572843,P1_INIT_POS_SETTLE,0.032518000,-0.542141000,0.340931000
19.583161,P1_INIT_POS_SETTLE,0.033027000,-0.542149000,0.340495000
19.593450,P1_INIT_POS_SETTLE,0.033508000,-0.542161000,0.340076000
19.603775,P1_INIT_POS_SETTLE,0.034074000,-0.542173000,0.339571000
19.614069,P1_INIT_POS_SETTLE,0.034574000,-0.542190000,0.339140000
19.624373,P1_INIT_POS_SETTLE,0.035108000,-0.542201000,0.338659000
19.634670,P1_INIT_POS_SETTLE,0.035664000,-0.542212000,0.338138000
19.645039,P1_INIT_POS_SETTLE,0.036145000,-0.542229000,0.337696000
19.655366,P1_INIT_POS_SETTLE,0.036639000,-0.542241000,0.337229000
19.665683,P1_INIT_POS_SETTLE,0.037202000,-0.542260000,0.336708000
19.676022,P1_INIT_POS_SETTLE,0.037717000,-0.542274000,0.336234000
19.686357,P1_INIT_POS_SETTLE,0.038240000,-0.542285000,0.335741000
19.696682,P1_INIT_POS_SETTLE,0.038814000,-0.542293000,0.335195000
19.707032,P1_INIT_POS_SETTLE,0.039339000,-0.542305000,0.334706000
19.717365,P1_INIT_POS_SETTLE,0.039853000,-0.542318000,0.334221000
19.727684,P1_INIT_POS_SETTLE,0.040418000,-0.542329000,0.333680000
19.738033,P1_INIT_POS_SETTLE,0.040944000,-0.542332000,0.333170000
19.748363,P1_INIT_POS_SETTLE,0.041463000,-0.542345000,0.332678000
19.758672,P1_INIT_POS_SETTLE,0.042004000,-0.542355000,0.332135000
19.769004,P1_INIT_POS_SETTLE,0.042513000,-0.542363000,0.331638000
19.779326,P1_INIT_POS_SETTLE,0.043030000,-0.542370000,0.331130000
19.789644,P1_INIT_POS_SETTLE,0.043615000,-0.542372000,0.330550000
19.799961,P1_INIT_POS_SETTLE,0.044112000,-0.542383000,0.330079000
19.810268,P1_INIT_POS_SETTLE,0.044603000,-0.542388000,0.329593000
19.820582,P1_INIT_POS_SETTLE,0.045163000,-0.542407000,0.329079000
19.830890,P1_INIT_POS_SETTLE,0.045677000,-0.542414000,0.328600000
19.841209,P1_INIT_POS_SETTLE,0.046185000,-0.542425000,0.328138000
19.851537,P1_INIT_POS_SETTLE,0.046744000,-0.542437000,0.327641000
19.861865,P1_INIT_POS_SETTLE,0.047243000,-0.542447000,0.327197000
19.872190,P1_INIT_POS_SETTLE,0.047749000,-0.542454000,0.326751000
19.882504,P1_INIT_POS_SETTLE,0.048263000,-0.542462000,0.326301000
19.892854,P1_INIT_POS_SETTLE,0.048824000,-0.542470000,0.325808000
19.903177,P1_INIT_POS_SETTLE,0.049296000,-0.542476000,0.325372000
19.913485,P1_INIT_POS_SETTLE,0.049738000,-0.542493000,0.324963000
19.923788,P1_INIT_POS_SETTLE,0.050237000,-0.542505000,0.324471000
19.934107,P1_INIT_POS_SETTLE,0.050725000,-0.542518000,0.323999000
19.944422,P1_INIT_POS_SETTLE,0.051196000,-0.542541000,0.323562000
19.954738,P1_INIT_POS_SETTLE,0.051733000,-0.542543000,0.323020000
19.965056,P1_INIT_POS_SETTLE,0.052246000,-0.542557000,0.322536000
19.975357,P1_INIT_POS_SETTLE,0.052734000,-0.542580000,0.322090000
19.985663,P1_INIT_POS_SETTLE,0.053264000,-0.542593000,0.321578000
19.995997,P1_INIT_POS_SETTLE,0.053765000,-0.542602000,0.321094000
20.006320,P1_INIT_POS_SETTLE,0.054261000,-0.542610000,0.320617000
20.016640,P1_INIT_POS_SETTLE,0.054797000,-0.542613000,0.320093000
20.027027,P1_INIT_POS_SETTLE,0.055287000,-0.542619000,0.319626000
20.037398,P1_INIT_POS_SETTLE,0.055788000,-0.542625000,0.319170000
20.047727,P1_INIT_POS_SETTLE,0.056361000,-0.542626000,0.318634000
20.058056,P1_INIT_POS_SETTLE,0.056890000,-0.542635000,0.318164000
20.068389,P1_INIT_POS_SETTLE,0.057392000,-0.542642000,0.317707000
20.078741,P1_INIT_POS_SETTLE,0.057946000,-0.542650000,0.317192000
20.089055,P1_INIT_POS_SETTLE,0.058438000,-0.542655000,0.316725000
20.099363,P1_INIT_POS_SETTLE,0.058940000,-0.542652000,0.316236000
20.109671,P1_INIT_POS_SETTLE,0.059506000,-0.542652000,0.315695000
20.119992,P1_INIT_POS_SETTLE,0.060013000,-0.542642000,0.315193000
20.130305,P1_INIT_POS_SETTLE,0.060529000,-0.542638000,0.314703000
20.140629,P1_INIT_POS_SETTLE,0.061085000,-0.542638000,0.314187000
20.150962,P1_INIT_POS_SETTLE,0.061616000,-0.542630000,0.313688000
20.161285,P1_INIT_POS_SETTLE,0.062174000,-0.542626000,0.313180000
20.171607,P1_INIT_POS_SETTLE,0.062781000,-0.542613000,0.312620000
20.181937,P1_INIT_POS_SETTLE,0.063313000,-0.542611000,0.312143000
20.192266,P1_INIT_POS_SETTLE,0.063846000,-0.542608000,0.311671000
20.202600,P1_INIT_POS_SETTLE,0.064448000,-0.542592000,0.311115000
20.212955,P1_INIT_POS_SETTLE,0.064990000,-0.542583000,0.310609000
20.223285,P1_INIT_POS_SETTLE,0.065517000,-0.542577000,0.310123000
20.233630,P1_INIT_POS_SETTLE,0.066099000,-0.542572000,0.309575000
20.243989,P1_INIT_POS_SETTLE,0.066596000,-0.542588000,0.309117000
20.254322,P1_INIT_POS_SETTLE,0.067116000,-0.542589000,0.308622000
20.264639,P1_INIT_POS_SETTLE,0.067717000,-0.542585000,0.308033000
20.274945,P1_INIT_POS_SETTLE,0.068226000,-0.542596000,0.307547000
20.285276,P1_INIT_POS_SETTLE,0.068731000,-0.542604000,0.307061000
20.295591,P1_INIT_POS_SETTLE,0.069298000,-0.542621000,0.306534000
20.305892,P1_INIT_POS_SETTLE,0.069821000,-0.542631000,0.306050000
20.316203,P1_INIT_POS_SETTLE,0.070333000,-0.542652000,0.305590000
20.326521,P1_INIT_POS_SETTLE,0.070889000,-0.542663000,0.305069000
20.336830,P1_INIT_POS_SETTLE,0.071407000,-0.542671000,0.304589000
20.347149,P1_INIT_POS_SETTLE,0.071920000,-0.542688000,0.304140000
20.357455,P1_INIT_POS_SETTLE,0.072432000,-0.542705000,0.303690000
20.367797,P1_INIT_POS_SETTLE,0.073007000,-0.542720000,0.303183000
20.378118,P1_INIT_POS_SETTLE,0.073522000,-0.542731000,0.302728000
20.388428,P1_INIT_POS_SETTLE,0.074030000,-0.542744000,0.302270000
20.398748,P1_INIT_POS_SETTLE,0.074565000,-0.542759000,0.301783000
20.409057,P1_INIT_POS_SETTLE,0.075005000,-0.542767000,0.301377000
20.419365,P1_INIT_POS_SETTLE,0.075531000,-0.542777000,0.300881000
20.429673,P1_INIT_POS_SETTLE,0.076053000,-0.542782000,0.300372000
20.439988,P1_INIT_POS_SETTLE,0.076554000,-0.542782000,0.299897000
20.450294,P1_INIT_POS_SETTLE,0.077061000,-0.542793000,0.299453000
20.460611,P1_INIT_POS_SETTLE,0.077619000,-0.542801000,0.298959000
20.470920,P1_INIT_POS_SETTLE,0.078106000,-0.542817000,0.298537000
20.481236,P1_INIT_POS_SETTLE,0.078591000,-0.542821000,0.298092000
20.491546,P1_INIT_POS_SETTLE,0.079139000,-0.542822000,0.297591000
20.501849,P1_INIT_POS_SETTLE,0.079640000,-0.542824000,0.297138000
20.512153,P1_INIT_POS_SETTLE,0.080151000,-0.542821000,0.296666000
20.522452,P1_INIT_POS_SETTLE,0.080650000,-0.542823000,0.296211000
20.532764,P1_INIT_POS_SETTLE,0.081185000,-0.542830000,0.295731000
20.543017,P1_INIT_POS_SETTLE,0.081696000,-0.542831000,0.295249000
20.553326,P1_INIT_POS_SETTLE,0.082174000,-0.542844000,0.294802000
20.563694,P1_INIT_POS_SETTLE,0.082708000,-0.542846000,0.294274000
20.574025,P1_INIT_POS_SETTLE,0.083242000,-0.542828000,0.293731000
20.584330,P1_INIT_POS_SETTLE,0.083756000,-0.542827000,0.293233000
20.594625,P1_INIT_POS_SETTLE,0.084282000,-0.542826000,0.292721000
20.604950,P1_INIT_POS_SETTLE,0.084749000,-0.542832000,0.292280000
20.615248,P1_INIT_POS_SETTLE,0.085226000,-0.542832000,0.291821000
20.625549,P1_INIT_POS_SETTLE,0.085814000,-0.542814000,0.291251000
20.635867,P1_INIT_POS_SETTLE,0.086336000,-0.542803000,0.290753000
20.646170,P1_INIT_POS_SETTLE,0.086832000,-0.542796000,0.290283000
20.656464,P1_INIT_POS_SETTLE,0.087344000,-0.542787000,0.289812000
20.666775,P1_INIT_POS_SETTLE,0.087934000,-0.542777000,0.289273000
20.677111,P1_INIT_POS_SETTLE,0.088456000,-0.542776000,0.288813000
20.687434,P1_INIT_POS_SETTLE,0.088932000,-0.542777000,0.288378000
20.697751,P1_INIT_POS_SETTLE,0.089474000,-0.542764000,0.287852000
20.708052,P1_INIT_POS_SETTLE,0.089989000,-0.542753000,0.287351000
20.718348,P1_INIT_POS_SETTLE,0.090472000,-0.542748000,0.286872000
20.728652,P1_INIT_POS_SETTLE,0.090997000,-0.542741000,0.286350000
20.738957,P1_INIT_POS_SETTLE,0.091494000,-0.542743000,0.285883000
20.749372,P1_INIT_POS_SETTLE,0.092018000,-0.542732000,0.285380000
20.759670,P1_INIT_POS_SETTLE,0.092584000,-0.542741000,0.284871000
20.769968,P1_INIT_POS_SETTLE,0.093063000,-0.542748000,0.284425000
20.780259,P1_INIT_POS_SETTLE,0.093552000,-0.542757000,0.283967000
20.790550,P1_INIT_POS_SETTLE,0.094111000,-0.542758000,0.283444000
20.800838,P1_INIT_POS_SETTLE,0.094630000,-0.542764000,0.282979000
20.811134,P1_INIT_POS_SETTLE,0.095073000,-0.542774000,0.282585000
20.821423,P1_INIT_POS_SETTLE,0.095608000,-0.542773000,0.282076000
20.831725,P1_INIT_POS_SETTLE,0.096178000,-0.542765000,0.281537000
20.842003,P1_INIT_POS_SETTLE,0.096680000,-0.542780000,0.281090000
20.852285,P1_INIT_POS_SETTLE,0.097082000,-0.542799000,0.280710000
20.862551,P1_INIT_POS_SETTLE,0.097658000,-0.542813000,0.280153000
20.872861,P1_INIT_POS_SETTLE,0.098169000,-0.542815000,0.279650000
20.883158,P1_INIT_POS_SETTLE,0.098672000,-0.542806000,0.279132000
20.893447,P1_INIT_POS_SETTLE,0.099140000,-0.542816000,0.278678000
20.903748,P1_INIT_POS_SETTLE,0.099646000,-0.542827000,0.278190000
20.914058,P1_INIT_POS_SETTLE,0.100107000,-0.542823000,0.277747000
20.924357,P1_INIT_POS_SETTLE,0.100682000,-0.542824000,0.277218000
20.934648,P1_INIT_POS_SETTLE,0.101211000,-0.542822000,0.276717000
20.944953,P1_INIT_POS_SETTLE,0.101698000,-0.542817000,0.276255000
20.955237,P1_INIT_POS_SETTLE,0.102218000,-0.542806000,0.275768000
20.965545,P1_INIT_POS_SETTLE,0.102728000,-0.542792000,0.275280000
20.975835,P1_INIT_POS_SETTLE,0.103264000,-0.542790000,0.274777000
20.986140,P1_INIT_POS_SETTLE,0.103761000,-0.542788000,0.274321000
20.996440,P1_INIT_POS_SETTLE,0.104265000,-0.542785000,0.273851000
21.006783,P1_INIT_POS_SETTLE,0.104812000,-0.542782000,0.273323000
21.017096,P1_INIT_POS_SETTLE,0.105299000,-0.542774000,0.272839000
21.027398,P1_INIT_POS_SETTLE,0.105773000,-0.542772000,0.272360000
21.037784,P1_INIT_POS_SETTLE,0.106323000,-0.542758000,0.271797000
21.308983,P1_INIT_DIVE,0.117100000,-0.543570000,0.262358000
21.318903,P1_INIT_DIVE,0.116927000,-0.543636000,0.262533000
21.328929,P1_INIT_DIVE,0.116998000,-0.543584000,0.262348000
21.338870,P1_INIT_DIVE,0.117404000,-0.543414000,0.261816000
21.348891,P1_INIT_DIVE,0.117666000,-0.543317000,0.261493000
21.358882,P1_INIT_DIVE,0.117586000,-0.543275000,0.261423000
21.368916,P1_INIT_DIVE,0.117473000,-0.543172000,0.261177000
21.378927,P1_INIT_DIVE,0.117556000,-0.543092000,0.260787000
21.388871,P1_INIT_DIVE,0.117716000,-0.543068000,0.260378000
21.398929,P1_INIT_DIVE,0.117948000,-0.542992000,0.259813000
21.408848,P1_INIT_DIVE,0.118335000,-0.542854000,0.259044000
21.418917,P1_INIT_DIVE,0.118646000,-0.542745000,0.258336000
21.428870,P1_INIT_DIVE,0.118722000,-0.542736000,0.257920000
21.439022,P1_INIT_DIVE,0.118701000,-0.542748000,0.257593000
21.448854,P1_INIT_DIVE,0.118783000,-0.542727000,0.257135000
21.458906,P1_INIT_DIVE,0.118841000,-0.542698000,0.256613000
21.468874,P1_INIT_DIVE,0.118784000,-0.542679000,0.256138000
21.478921,P1_INIT_DIVE,0.118706000,-0.542649000,0.255650000
21.488886,P1_INIT_DIVE,0.118651000,-0.542588000,0.255100000
21.498874,P1_INIT_DIVE,0.118576000,-0.542535000,0.254608000
21.508888,P1_INIT_DIVE,0.118478000,-0.542510000,0.254214000
21.518885,P1_INIT_DIVE,0.118427000,-0.542502000,0.253863000
21.528864,P1_INIT_DIVE,0.118475000,-0.542464000,0.253299000
21.539026,P1_INIT_DIVE,0.118544000,-0.542446000,0.252770000
21.548887,P1_INIT_DIVE,0.118545000,-0.542442000,0.252300000
21.558947,P1_INIT_DIVE,0.118506000,-0.542418000,0.251815000
21.568871,P1_INIT_DIVE,0.118462000,-0.542404000,0.251354000
21.578836,P1_INIT_DIVE,0.118375000,-0.542397000,0.250930000
21.588813,P1_INIT_DIVE,0.118294000,-0.542376000,0.250484000
21.598792,P1_INIT_DIVE,0.118232000,-0.542360000,0.250033000
21.608812,P1_INIT_DIVE,0.118208000,-0.542320000,0.249519000
21.618936,P1_INIT_DIVE,0.118191000,-0.542289000,0.249008000
21.628911,P1_INIT_DIVE,0.118154000,-0.542276000,0.248547000
21.638904,P1_INIT_DIVE,0.118108000,-0.542268000,0.248097000
21.648891,P1_INIT_DIVE,0.118086000,-0.542258000,0.247627000
21.658890,P1_INIT_DIVE,0.118071000,-0.542239000,0.247138000
21.668916,P1_INIT_DIVE,0.118057000,-0.542216000,0.246656000
21.678868,P1_INIT_DIVE,0.118024000,-0.542200000,0.246192000
21.688877,P1_INIT_DIVE,0.117990000,-0.542177000,0.245720000
21.698868,P1_INIT_DIVE,0.117970000,-0.542152000,0.245230000
21.708912,P1_INIT_DIVE,0.117934000,-0.542134000,0.244751000
21.718902,P1_INIT_DIVE,0.117862000,-0.542129000,0.244307000
21.718991,P1_INIT_DIVE_SETTLE,0.117862000,-0.542129000,0.244307000
21.729291,P1_INIT_DIVE_SETTLE,0.117788000,-0.542125000,0.243855000
21.739600,P1_INIT_DIVE_SETTLE,0.117740000,-0.542111000,0.243307000
21.749907,P1_INIT_DIVE_SETTLE,0.117720000,-0.542106000,0.242811000
21.760214,P1_INIT_DIVE_SETTLE,0.117661000,-0.542107000,0.242343000
21.770505,P1_INIT_DIVE_SETTLE,0.117600000,-0.542102000,0.241863000
21.780816,P1_INIT_DIVE_SETTLE,0.117551000,-0.542108000,0.241341000
21.791118,P1_INIT_DIVE_SETTLE,0.117507000,-0.542115000,0.240871000
21.801416,P1_INIT_DIVE_SETTLE,0.117452000,-0.542112000,0.240390000
21.811736,P1_INIT_DIVE_SETTLE,0.117390000,-0.542122000,0.239880000
21.821984,P1_INIT_DIVE_SETTLE,0.117374000,-0.542123000,0.239404000
21.832298,P1_INIT_DIVE_SETTLE,0.117367000,-0.542114000,0.238908000
21.842631,P1_INIT_DIVE_SETTLE,0.117308000,-0.542130000,0.238430000
21.852971,P1_INIT_DIVE_SETTLE,0.117241000,-0.542139000,0.238001000
