t,phase,x,y,z
0.004035,INIT_POS,0.686165000,0.113239000,0.323671000
0.024507,INIT_POS,0.686143000,0.113328000,0.323691000
0.034539,INIT_POS,0.686062000,0.113569000,0.323746000
0.044486,INIT_POS,0.685930000,0.113700000,0.323774000
0.054498,INIT_POS,0.685762000,0.113643000,0.323760000
0.064484,INIT_POS,0.685519000,0.113704000,0.323763000
0.074486,INIT_POS,0.685216000,0.113751000,0.323741000
0.084483,INIT_POS,0.684907000,0.113613000,0.323689000
0.094483,INIT_POS,0.684557000,0.113641000,0.323675000
0.104475,INIT_POS,0.684166000,0.113820000,0.323702000
0.114488,INIT_POS,0.683771000,0.113821000,0.323694000
0.124490,INIT_POS,0.683366000,0.113719000,0.323657000
0.134515,INIT_POS,0.682915000,0.113723000,0.323612000
0.144483,INIT_POS,0.682437000,0.113739000,0.323570000
0.154492,INIT_POS,0.681964000,0.113657000,0.323547000
0.164475,INIT_POS,0.681479000,0.113555000,0.323501000
0.174488,INIT_POS,0.680980000,0.113482000,0.323446000
0.184474,INIT_POS,0.680467000,0.113408000,0.323353000
0.194487,INIT_POS,0.679946000,0.113356000,0.323266000
0.204517,INIT_POS,0.679418000,0.113334000,0.323195000
0.214489,INIT_POS,0.678881000,0.113291000,0.323129000
0.224491,INIT_POS,0.678342000,0.113242000,0.323051000
0.234507,INIT_POS,0.677798000,0.113229000,0.322978000
0.244491,INIT_POS,0.677251000,0.113247000,0.322933000
0.254490,INIT_POS,0.676696000,0.113235000,0.322880000
0.264476,INIT_POS,0.676125000,0.113195000,0.322778000
0.274508,INIT_POS,0.675567000,0.113170000,0.322694000
0.284518,INIT_POS,0.674994000,0.113146000,0.322591000
0.294506,INIT_POS,0.674436000,0.113090000,0.322511000
0.304476,INIT_POS,0.673887000,0.113068000,0.322467000
0.314486,INIT_POS,0.673352000,0.113063000,0.322449000
0.324486,INIT_POS,0.672836000,0.113046000,0.322453000
0.334520,INIT_POS,0.672331000,0.113038000,0.322459000
0.344490,INIT_POS,0.671836000,0.113046000,0.322486000
0.354475,INIT_POS,0.671344000,0.113042000,0.322505000
0.364475,INIT_POS,0.670853000,0.113040000,0.322525000
0.374473,INIT_POS,0.670367000,0.113039000,0.322544000
0.384477,INIT_POS,0.669877000,0.113031000,0.322545000
0.394470,INIT_POS,0.669388000,0.113027000,0.322544000
0.404526,INIT_POS,0.668893000,0.113032000,0.322539000
0.414480,INIT_POS,0.668393000,0.113036000,0.322534000
0.424488,INIT_POS,0.667888000,0.113028000,0.322518000
0.434495,INIT_POS,0.667385000,0.113019000,0.322510000
0.444495,INIT_POS,0.666876000,0.113019000,0.322501000
